Date,Open,High,Low,Close,Adj Close,Volume
2023-09-27,4987.500000,5112.500000,4975.000000,5062.500000,4831.604492,92088000
2023-09-29,5087.500000,5212.500000,5075.000000,5162.500000,4927.043457,76949400
2023-10-02,5162.500000,5250.000000,5150.000000,5150.000000,4915.113770,52562400
2023-10-03,5175.000000,5225.000000,5162.500000,5212.500000,4974.763184,49593400
2023-10-04,5225.000000,5237.500000,5125.000000,5187.500000,4950.903320,57958800
2023-10-05,5200.000000,5200.000000,5175.000000,5187.500000,4950.903320,69727000
2023-10-06,5225.000000,5225.000000,5175.000000,5200.000000,4962.833008,41840100
2023-10-09,5200.000000,5200.000000,5050.000000,5100.000000,4867.394043,55808900
2023-10-10,5175.000000,5200.000000,5150.000000,5200.000000,4962.833008,27090900
2023-10-11,5200.000000,5200.000000,5150.000000,5175.000000,4938.973633,63713600
2023-10-12,5200.000000,5425.000000,5200.000000,5325.000000,5082.132324,71485100
2023-10-13,5350.000000,5375.000000,5175.000000,5175.000000,4938.973633,49138900
2023-10-16,5200.000000,5275.000000,5150.000000,5200.000000,4962.833008,35029400
2023-10-17,5200.000000,5225.000000,5150.000000,5200.000000,4962.833008,29834000
2023-10-18,5200.000000,5225.000000,5100.000000,5125.000000,4891.253906,46027500
2023-10-19,5100.000000,5100.000000,4900.000000,4940.000000,4714.691406,96750500
2023-10-20,4940.000000,5025.000000,4910.000000,4970.000000,4743.323242,48517500
2023-10-23,4970.000000,5050.000000,4950.000000,4990.000000,4762.411133,36582200
2023-10-24,5000.000000,5075.000000,4970.000000,5000.000000,4771.955078,43655100
2023-10-25,5050.000000,5050.000000,4960.000000,4970.000000,4743.323242,49108000
2023-10-26,4980.000000,4990.000000,4830.000000,4880.000000,4657.428223,77078100
2023-10-27,4880.000000,4900.000000,4850.000000,4850.000000,4628.796387,39350600
2023-10-30,4850.000000,4860.000000,4810.000000,4850.000000,4628.796387,34312600
2023-10-31,4850.000000,4850.000000,4720.000000,4790.000000,4571.532715,62061200
2023-11-01,4930.000000,4930.000000,4790.000000,4820.000000,4600.164551,58008400
2023-11-02,4820.000000,4920.000000,4810.000000,4870.000000,4647.884277,61528700
2023-11-03,4910.000000,4940.000000,4880.000000,4890.000000,4666.972168,37333500
2023-11-06,4980.000000,5000.000000,4940.000000,4970.000000,4743.323242,54278500
2023-11-07,4970.000000,4970.000000,4910.000000,4940.000000,4714.691406,38213600
2023-11-08,4940.000000,4950.000000,4860.000000,4880.000000,4657.428223,30691100
2023-11-09,4880.000000,4950.000000,4860.000000,4860.000000,4638.340332,32999400
2023-11-10,4860.000000,4870.000000,4820.000000,4860.000000,4638.340332,37753900
2023-11-13,4890.000000,4910.000000,4870.000000,4890.000000,4666.972168,17199700
2023-11-14,4910.000000,4940.000000,4880.000000,4880.000000,4657.428223,27961100
2023-11-15,4970.000000,5025.000000,4960.000000,4980.000000,4752.867188,93350800
2023-11-16,4970.000000,4990.000000,4910.000000,4950.000000,4724.235352,38121600
2023-11-17,4940.000000,4990.000000,4900.000000,4980.000000,4752.867188,48489500
2023-11-20,5000.000000,5025.000000,4970.000000,4980.000000,4752.867188,52108800
2023-11-21,5000.000000,5100.000000,4990.000000,5075.000000,4843.534180,129449900
2023-11-22,5100.000000,5100.000000,5025.000000,5075.000000,4843.534180,28872800
2023-11-23,5100.000000,5175.000000,5075.000000,5150.000000,4915.113770,80157000
2023-11-24,5175.000000,5250.000000,5175.000000,5200.000000,4962.833008,61211100
2023-11-27,5225.000000,5350.000000,5225.000000,5275.000000,5034.412598,79553000
2023-11-28,5350.000000,5350.000000,5175.000000,5175.000000,4938.973633,43142000
2023-11-29,5125.000000,5225.000000,5100.000000,5225.000000,4986.692871,48041400
2023-11-30,5150.000000,5275.000000,5150.000000,5275.000000,5034.412598,127524100
2023-12-01,5300.000000,5300.000000,5200.000000,5250.000000,5010.552734,31223300
2023-12-04,5275.000000,5350.000000,5250.000000,5300.000000,5058.272461,34104500
2023-12-05,5300.000000,5325.000000,5225.000000,5300.000000,5058.272461,29788300
2023-12-06,5300.000000,5325.000000,5225.000000,5225.000000,4986.692871,32453700
2023-12-07,5225.000000,5300.000000,5150.000000,5275.000000,5034.412598,36511000
2023-12-08,5200.000000,5225.000000,5075.000000,5075.000000,4843.534180,47842200
2023-12-11,5075.000000,5200.000000,5050.000000,5175.000000,4938.973633,36394800
2023-12-12,5250.000000,5300.000000,5225.000000,5275.000000,5034.412598,40554100
2023-12-13,5275.000000,5275.000000,5125.000000,5175.000000,4938.973633,39240500
2023-12-14,5225.000000,5400.000000,5225.000000,5350.000000,5105.991699,85061100
2023-12-15,5425.000000,5425.000000,5275.000000,5275.000000,5034.412598,58451500
2023-12-18,5250.000000,5300.000000,5175.000000,5200.000000,4962.833008,51524600
2023-12-19,5200.000000,5250.000000,5175.000000,5200.000000,4962.833008,42678100
2023-12-20,5225.000000,5250.000000,5175.000000,5200.000000,4962.833008,54306000
2023-12-21,5225.000000,5225.000000,5125.000000,5150.000000,4915.113770,48767200
2023-12-22,5200.000000,5250.000000,5175.000000,5250.000000,5010.552734,35234900
2023-12-27,5300.000000,5325.000000,5250.000000,5275.000000,5034.412598,31289300
2023-12-28,5300.000000,5400.000000,5250.000000,5350.000000,5105.991699,37566900
2023-12-29,5375.000000,5400.000000,5325.000000,5375.000000,5129.851563,38423300
2024-01-02,5375.000000,5375.000000,5300.000000,5375.000000,5129.851563,20147500
2024-01-03,5375.000000,5400.000000,5325.000000,5350.000000,5105.991699,27547700
2024-01-04,5350.000000,5675.000000,5325.000000,5600.000000,5344.589844,77162400
2024-01-05,5675.000000,5750.000000,5575.000000,5575.000000,5320.729980,69463500
2024-01-08,5575.000000,5650.000000,5550.000000,5575.000000,5320.729980,60606600
2024-01-09,5600.000000,5650.000000,5600.000000,5650.000000,5392.309082,34897000
2024-01-10,5625.000000,5675.000000,5575.000000,5600.000000,5344.589844,37988500
2024-01-11,5650.000000,5700.000000,5575.000000,5600.000000,5344.589844,22855800
2024-01-12,5600.000000,5650.000000,5575.000000,5600.000000,5344.589844,40942900
2024-01-15,5650.000000,5675.000000,5600.000000,5625.000000,5368.449219,51408800
2024-01-16,5625.000000,5625.000000,5575.000000,5600.000000,5344.589844,37795700
2024-01-17,5600.000000,5625.000000,5475.000000,5550.000000,5296.870117,61481200
2024-01-18,5550.000000,5600.000000,5475.000000,5550.000000,5296.870117,33241700
2024-01-19,5575.000000,5575.000000,5475.000000,5500.000000,5249.150391,29776100
2024-01-22,5525.000000,5600.000000,5450.000000,5525.000000,5273.010254,30949600
2024-01-23,5525.000000,5525.000000,5375.000000,5425.000000,5177.571289,48824300
2024-01-24,5450.000000,5500.000000,5400.000000,5475.000000,5225.290527,42436800
2024-01-25,5500.000000,5525.000000,5400.000000,5400.000000,5153.711426,47955600
2024-01-26,5400.000000,5425.000000,5350.000000,5425.000000,5177.571289,30545600
2024-01-29,5450.000000,5575.000000,5450.000000,5575.000000,5320.729980,63056100
2024-01-30,5575.000000,5675.000000,5550.000000,5650.000000,5392.309082,55020500
2024-01-31,5700.000000,5800.000000,5675.000000,5750.000000,5487.748047,70045600
2024-02-01,5750.000000,5750.000000,5650.000000,5725.000000,5463.888672,49179400
2024-02-02,5750.000000,5825.000000,5750.000000,5775.000000,5511.607910,44074200
2024-02-05,5775.000000,5825.000000,5725.000000,5750.000000,5487.748047,47096400
2024-02-06,5775.000000,5825.000000,5750.000000,5775.000000,5511.607910,41834000
2024-02-07,5775.000000,5825.000000,5750.000000,5750.000000,5487.748047,39906900
2024-02-12,5775.000000,6000.000000,5750.000000,5950.000000,5678.626465,64615800
2024-02-13,5975.000000,5975.000000,5850.000000,5875.000000,5607.047363,74976200
2024-02-15,6150.000000,6225.000000,6000.000000,6000.000000,5726.346191,128792500
2024-02-16,6025.000000,6125.000000,6000.000000,6000.000000,5726.346191,62601000
2024-02-19,6025.000000,6050.000000,5875.000000,5875.000000,5607.047363,67950100
2024-02-20,5900.000000,6025.000000,5900.000000,6025.000000,5750.205566,37554100
2024-02-21,6025.000000,6050.000000,5925.000000,6000.000000,5726.346191,54476400
2024-02-22,6000.000000,6025.000000,5900.000000,5950.000000,5678.626465,37676100
2024-02-23,6000.000000,6000.000000,5825.000000,5900.000000,5630.906738,50216600
2024-02-26,5900.000000,5925.000000,5800.000000,5900.000000,5630.906738,27500000
2024-02-27,5900.000000,6000.000000,5850.000000,6000.000000,5726.346191,38645200
2024-02-28,5950.000000,6000.000000,5900.000000,5975.000000,5702.486328,27278600
2024-02-29,5975.000000,6000.000000,5900.000000,6000.000000,5726.346191,48736000
2024-03-01,5925.000000,5975.000000,5825.000000,5900.000000,5630.906738,71774400
2024-03-04,5900.000000,5925.000000,5800.000000,5875.000000,5607.047363,35600700
2024-03-05,5875.000000,5950.000000,5850.000000,5900.000000,5630.906738,49795500
2024-03-06,5900.000000,5950.000000,5875.000000,5950.000000,5678.626465,28923100
2024-03-07,5975.000000,6025.000000,5950.000000,5975.000000,5702.486328,47464200
2024-03-08,6000.000000,6125.000000,5975.000000,6100.000000,5821.785156,73185000
2024-03-13,6100.000000,6250.000000,6100.000000,6225.000000,5941.083984,87861700
2024-03-14,6225.000000,6250.000000,6075.000000,6150.000000,5869.504883,88145400
2024-03-15,5950.000000,5950.000000,5725.000000,5800.000000,5800.000000,144447600
2024-03-18,5825.000000,5900.000000,5800.000000,5800.000000,5800.000000,48979300
2024-03-19,5800.000000,5875.000000,5800.000000,5850.000000,5850.000000,34162200
2024-03-20,5850.000000,5900.000000,5850.000000,5875.000000,5875.000000,32725900
2024-03-21,5900.000000,5925.000000,5800.000000,5800.000000,5800.000000,50976000
2024-03-22,5850.000000,5875.000000,5800.000000,5850.000000,5850.000000,29927600
